trial,x,z,sx,sz
1,0,-15.0,30.32,0.32
1,0,15.0,30.32,0.32
1,-15.0,0,0.32,30.32
1,15.0,0,0.32,30.32
1,-7.5,-10.0,5.32,0.32
1,-2.5,-10.0,5.32,0.32
1,2.5,-10.0,5.32,0.32
1,7.5,-10.0,5.32,0.32
1,-12.5,-5.0,5.32,0.32
1,2.5,-5.0,5.32,0.32
1,-7.5,0.0,5.32,0.32
1,7.5,0.0,5.32,0.32
1,-7.5,5.0,5.32,0.32
1,-2.5,5.0,5.32,0.32
1,2.5,5.0,5.32,0.32
1,-2.5,10.0,5.32,0.32
1,-10.0,-12.5,0.32,5.32
1,-5.0,-7.5,0.32,5.32
1,10.0,-7.5,0.32,5.32
1,-5.0,-2.5,0.32,5.32
1,5.0,-2.5,0.32,5.32
1,-10.0,2.5,0.32,5.32
1,0.0,2.5,0.32,5.32
1,10.0,2.5,0.32,5.32
1,-10.0,7.5,0.32,5.32
1,5.0,7.5,0.32,5.32
1,10.0,7.5,0.32,5.32
1,-5.0,12.5,0.32,5.32
1,10.0,12.5,0.32,5.32
